Kanton Basel-Stadt,,,,,,,
,,,,,,,
Eidgenössische Volksabstimmung vom 5. Juni 2016,,,,,,,Schlussresultat
,,,,,,,
(1) «Pro Service public»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,1'303,1'302,78,0,1'224,402,822
Rathaus,1'502,1'502,94,1,1'407,468,939
Polizeiwache Clara,568,568,36,0,532,179,353
Basel brieflich Stimmende,44'861,44'848,1'536,13,43'299,15'112,28'187
Total Basel,48'234,48'220,1'744,14,46'462,16'161,30'301
Riehen Gemeindehaus,311,311,10,1,300,101,199
Riehen brieflich Stimmende,7'116,7'102,223,0,6'879,2'477,4'402
Total Riehen,7'427,7'413,233,1,7'179,2'578,4'601
Bettingen Gemeindehaus,19,19,1,0,18,6,12
Bettingen brieflich Stimmende,424,424,13,0,411,123,288
Total Bettingen,443,443,14,0,429,129,300
Elektronisch Stimmende AS,1'677,1'677,34,0,1'643,535,1'108
Brieflich Stimmende AS,966,964,24,1,939,376,563
Total Auslandschweizer (AS),2'643,2'641,58,1,2'582,911,1'671
Total Kanton,58'747,58'717,2'049,16,56'652,19'779,36'873
,,,,,,,
(2) «Für ein bedingungsloses Grundeinkommen»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,1'303,1'302,19,0,1'283,711,572
Rathaus,1'502,1'502,32,0,1'470,823,647
Polizeiwache Clara,568,568,8,0,560,372,188
Basel brieflich Stimmende,44'861,44'848,642,15,44'191,16'353,27'838
Total Basel,48'234,48'220,701,15,47'504,18'259,29'245
Riehen Gemeindehaus,311,311,3,0,308,94,214
Riehen brieflich Stimmende,7'116,7'102,85,0,7'017,1'537,5'480
Total Riehen,7'427,7'413,88,0,7'325,1'631,5'694
Bettingen Gemeindehaus,19,19,0,0,19,2,17
Bettingen brieflich Stimmende,424,424,2,0,422,60,362
Total Bettingen,443,443,2,0,441,62,379
Elektronisch Stimmende AS,1'677,1'677,17,0,1'660,622,1'038
Brieflich Stimmende AS,966,964,10,2,952,268,684
Total Auslandschweizer (AS),2'643,2'641,27,2,2'612,890,1'722
Total Kanton,58'747,58'717,818,17,57'882,20'842,37'040
,,,,,,,
(3) «Für eine faire Verkehrsfinanzierung»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,1'303,1'302,59,0,1'243,156,1'087
Rathaus,1'502,1'502,68,0,1'434,146,1'288
Polizeiwache Clara,568,568,24,0,544,60,484
Basel brieflich Stimmende,44'861,44'848,1'406,18,43'424,10'590,32'834
Total Basel,48'234,48'220,1'557,18,46'645,10'952,35'693
Riehen Gemeindehaus,311,311,8,0,303,57,246
Riehen brieflich Stimmende,7'116,7'102,208,1,6'893,2'138,4'755
Total Riehen,7'427,7'413,216,1,7'196,2'195,5'001
Bettingen Gemeindehaus,19,19,3,0,16,3,13
Bettingen brieflich Stimmende,424,424,10,0,414,117,297
Total Bettingen,443,443,13,0,430,120,310
Elektronisch Stimmende AS,1'677,1'677,38,0,1'639,299,1'340
Brieflich Stimmende AS,966,964,28,1,935,238,697
Total Auslandschweizer (AS),2'643,2'641,66,1,2'574,537,2'037
Total Kanton,58'747,58'717,1'852,20,56'845,13'804,43'041
,,,,,,,
(4) «Fortpflanzungsmedizingesetz»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,1'303,1'302,105,0,1'197,694,503
Rathaus,1'502,1'502,136,0,1'366,816,550
Polizeiwache Clara,568,568,58,0,510,268,242
Basel brieflich Stimmende,44'861,44'848,2'216,18,42'614,25'564,17'050
Total Basel,48'234,48'220,2'515,18,45'687,27'342,18'345
Riehen Gemeindehaus,311,311,15,0,296,187,109
Riehen brieflich Stimmende,7'116,7'102,270,5,6'827,4'195,2'632
Total Riehen,7'427,7'413,285,5,7'123,4'382,2'741
Bettingen Gemeindehaus,19,19,2,0,17,10,7
Bettingen brieflich Stimmende,424,424,6,0,418,237,181
Total Bettingen,443,443,8,0,435,247,188
Elektronisch Stimmende AS,1'677,1'677,57,0,1'620,1'172,448
Brieflich Stimmende AS,966,964,41,2,921,591,330
Total Auslandschweizer (AS),2'643,2'641,98,2,2'541,1'763,778
Total Kanton,58'747,58'717,2'906,25,55'786,33'734,22'052
,,,,,,,
(5) «Asylgesetz»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,1'303,1'302,55,0,1'247,1'021,226
Rathaus,1'502,1'502,63,0,1'439,1'214,225
Polizeiwache Clara,568,568,31,0,537,452,85
Basel brieflich Stimmende,44'861,44'848,1'317,16,43'515,32'014,11'501
Total Basel,48'234,48'220,1'466,16,46'738,34'701,12'037
Riehen Gemeindehaus,311,311,11,0,300,226,74
Riehen brieflich Stimmende,7'116,7'102,203,0,6'899,4'874,2'025
Total Riehen,7'427,7'413,214,0,7'199,5'100,2'099
Bettingen Gemeindehaus,19,19,1,0,18,14,4
Bettingen brieflich Stimmende,424,424,9,0,415,302,113
Total Bettingen,443,443,10,0,433,316,117
Elektronisch Stimmende AS,1'677,1'677,29,0,1'648,1'366,282
Brieflich Stimmende AS,966,964,14,1,949,738,211
Total Auslandschweizer (AS),2'643,2'641,43,1,2'597,2'104,493
Total Kanton,58'747,58'717,1'733,17,56'967,42'221,14'746
